CallNumber,InterArrival Time,Arrival Time,When A Available,When B Available,Server Chosen,service Time,Time Service Begins,Service Completion A,Service Completion B,Caller Delay,Time In Sistem
1,0,0,0,0,Si A,5,0,5,0,0,5
2,4,4,5,0,Si B,3,4,5,7,0,3
3,3,7,5,7,Si A,4,7,11,7,0,4
4,4,11,11,7,Si B,5,11,11,16,0,5
5,4,15,11,16,Si A,3,15,18,16,0,3
6,1,16,18,16,Si B,3,16,18,19,0,3
7,1,17,18,19,Si A,3,18,21,19,1,4
8,2,19,21,19,Si B,3,19,21,22,0,3
9,4,23,21,22,Si A,5,23,28,22,0,5
10,7,30,28,22,Si B,3,30,28,33,0,3
11,3,33,28,33,Si A,4,33,37,33,0,4
12,3,36,37,33,Si B,5,36,37,41,0,5
13,6,42,37,41,Si A,5,42,47,41,0,5
14,6,48,47,41,Si B,3,48,47,51,0,3
15,7,55,47,51,Si A,2,55,57,51,0,2
16,1,56,57,51,Si B,3,56,57,59,0,3
17,7,63,57,59,Si A,4,63,67,59,0,4
18,1,64,67,59,Si B,4,64,67,68,0,4
19,2,66,67,68,Si A,2,67,69,68,1,3
20,7,73,69,68,Si B,6,73,69,79,0,6
21,4,77,69,79,Si A,3,77,80,79,0,3
22,6,83,80,79,Si B,6,83,80,89,0,6
23,5,88,80,89,Si A,3,88,91,89,0,3
24,6,94,91,89,Si B,3,94,91,97,0,3
25,1,95,91,97,Si A,3,95,98,97,0,3
26,4,99,98,97,Si B,3,99,98,102,0,3
27,4,103,98,102,Si A,5,103,108,102,0,5
28,3,106,108,102,Si B,6,106,108,112,0,6
29,1,107,108,112,Si A,2,108,110,112,1,3
30,2,109,110,112,Si A,4,110,114,112,1,5
31,5,114,114,112,Si B,4,114,114,118,0,4
32,1,115,114,118,Si A,5,115,120,118,0,5
33,5,120,120,118,Si B,6,120,120,126,0,6
34,3,123,120,126,Si A,4,123,127,126,0,4
35,5,128,127,126,Si B,5,128,127,133,0,5
36,2,130,127,133,Si A,2,130,132,133,0,2
37,3,133,132,133,Si A,5,133,138,133,0,5
38,3,136,138,133,Si B,3,136,138,139,0,3
39,1,137,138,139,Si A,2,138,140,139,1,3
40,7,144,140,139,Si B,3,144,140,147,0,3
41,2,146,140,147,Si A,5,146,151,147,0,5
42,2,148,151,147,Si B,5,148,151,153,0,5
43,2,150,151,153,Si A,3,151,154,153,1,4
44,3,153,154,153,Si B,3,153,154,156,0,3
45,5,158,154,156,Si A,5,158,163,156,0,5
46,6,164,163,156,Si B,6,164,163,170,0,6
47,5,169,163,170,Si A,2,169,171,170,0,2
48,5,174,171,170,Si B,4,174,171,178,0,4
49,4,178,171,178,Si A,4,178,182,178,0,4
50,5,183,182,178,Si B,3,183,182,186,0,3
51,7,190,182,186,Si A,2,190,192,186,0,2
52,6,196,192,186,Si B,3,196,192,199,0,3
53,3,199,192,199,Si A,3,199,202,199,0,3
54,3,202,202,199,Si B,3,202,202,205,0,3
55,2,204,202,205,Si A,4,204,208,205,0,4
56,3,207,208,205,Si B,3,207,208,210,0,3
57,2,209,208,210,Si A,5,209,214,210,0,5
58,7,216,214,210,Si B,4,216,214,220,0,4
59,1,217,214,220,Si A,2,217,219,220,0,2
60,6,223,219,220,Si A,4,223,227,220,0,4
61,5,228,227,220,Si B,3,228,227,231,0,3
62,5,233,227,231,Si A,5,233,238,231,0,5
63,3,236,238,231,Si B,3,236,238,239,0,3
64,2,238,238,239,Si A,2,238,240,239,0,2
65,4,242,240,239,Si B,3,242,240,245,0,3
66,1,243,240,245,Si A,3,243,246,245,0,3
67,7,250,246,245,Si B,4,250,246,254,0,4
68,6,256,246,254,Si A,5,256,261,254,0,5
69,5,261,261,254,Si B,5,261,261,266,0,5
70,1,262,261,266,Si A,2,262,264,266,0,2
71,4,266,264,266,Si A,2,266,268,266,0,2
72,3,269,268,266,Si B,5,269,268,274,0,5
73,3,272,268,274,Si A,4,272,276,274,0,4
74,6,278,276,274,Si B,5,278,276,283,0,5
75,7,285,276,283,Si A,3,285,288,283,0,3
76,5,290,288,283,Si B,6,290,288,296,0,6
77,5,295,288,296,Si A,2,295,297,296,0,2
78,5,300,297,296,Si B,5,300,297,305,0,5
79,7,307,297,305,Si A,3,307,310,305,0,3
80,4,311,310,305,Si B,6,311,310,317,0,6
81,3,314,310,317,Si A,4,314,318,317,0,4
82,6,320,318,317,Si B,5,320,318,325,0,5
83,3,323,318,325,Si A,3,323,326,325,0,3
84,6,329,326,325,Si B,3,329,326,332,0,3
85,7,336,326,332,Si A,4,336,340,332,0,4
86,5,341,340,332,Si B,4,341,340,345,0,4
87,4,345,340,345,Si A,3,345,348,345,0,3
88,4,349,348,345,Si B,4,349,348,353,0,4
89,6,355,348,353,Si A,5,355,360,353,0,5
90,2,357,360,353,Si B,3,357,360,360,0,3
91,4,361,360,360,Si A,3,361,364,360,0,3
92,6,367,364,360,Si B,3,367,364,370,0,3
93,3,370,364,370,Si A,5,370,375,370,0,5
94,2,372,375,370,Si B,4,372,375,376,0,4
95,1,373,375,376,Si A,2,375,377,376,2,4
96,7,380,377,376,Si B,4,380,377,384,0,4
97,3,383,377,384,Si A,4,383,387,384,0,4
98,1,384,387,384,Si B,5,384,387,389,0,5
99,2,386,387,389,Si A,5,387,392,389,1,6
100,7,393,392,389,Si B,6,393,392,399,0,6
